noise = gauss, noise_std = 0.01, noise_effect = both, sparsity = 0.1, omega = 0.09, semirings = ['plus-times', 'min-plus', 'max-times', 'max-min'], eval_mode = closure, hist = False, hist_bins = 140, hist_bound = [7, 7], weight_bounds = [0.1, 0.9], edges = 4, samples = [5000], nodes = [20, 50, 100, 200, 300], graph_type = ER, runs = 5, timeout = 1000, table = TPR, sparserc_epochs = 15000, legend = False, cor_val = 0.05, cor = plus, 
samples = 5000, nodes = 20, noise = gauss
Results, SHD, TPR, SID, FPR, NNZ, NMSE, E_RM, T 
Acc max-min is, 307.600, 0.984, 4707.200, 0.015, 7495.800, 0.556, 4.200, 14.499
Std max-min is, 187.564, 0.011, 2069.285, 0.012, 549.998, 0.022, 2.315, 0.917
noise = gauss, noise_std = 0.01, noise_effect = both, sparsity = 0.1, omega = 0.09, semirings = ['plus-times', 'min-plus', 'max-times', 'max-min'], eval_mode = closure, hist = False, hist_bins = 140, hist_bound = [7, 7], weight_bounds = [0.1, 0.9], edges = 4, samples = [5000], nodes = [20, 100, 200, 300, 400, 500], graph_type = ER, runs = 5, timeout = 1000, table = TPR, sparserc_epochs = 15000, legend = False, cor_val = 0.05, cor = plus, 
samples = 5000, nodes = 300, noise = gauss
Results, SHD, TPR, SID, FPR, NNZ, NMSE, E_RM, T 
Acc plus-times is, 32.400, 0.998, 310.600, 0.000, 14495.200, 0.157, 0.000, 22.770
Std plus-times is, 60.879, 0.004, 383.235, 0.000, 1065.474, 0.018, 0.000, 2.858
Acc min-plus is, 14270.200, 0.904, 15967.200, 0.425, 25984.800, 0.973, 2671.400, 23.322
Std min-plus is, 1029.536, 0.024, 1945.109, 0.036, 1158.950, 0.005, 564.509, 0.784
Acc max-times is, 59.000, 0.998, 270.200, 0.001, 14509.800, 0.187, 0.800, 31.899
Std max-times is, 55.868, 0.004, 287.208, 0.001, 1058.601, 0.015, 0.748, 16.081
Acc max-min is, 1984.800, 0.961, 9979.800, 0.047, 15370.800, 0.699, 41.400, 25.732
Std max-min is, 75.042, 0.009, 2653.363, 0.003, 833.439, 0.053, 24.245, 3.145
